,stato,citta,alt,lat,lon,superficie_media,produzione_media,superficie_std,produzione_std,temp_media,prec_media
44,chhattisgarh,raigarh,224.0,21.89764,83.3966,2552.6666666666665,4248.888888888889,1149.556544933741,2205.2234832576746,27.416666666666668,1242.2666666666667
45,chhattisgarh,raipur,336.0,26.04259,74.02373,6150.222222222223,8296.666666666666,2869.647311856362,2741.748073766078,27.083333333333332,1242.2666666666667
46,chhattisgarh,raipur,296.0,21.23333,81.63333,6150.222222222223,8296.666666666666,2869.647311856362,2741.748073766078,27.083333333333332,1242.2666666666667
47,chhattisgarh,raipur,680.0,30.31097,78.08979,6150.222222222223,8296.666666666666,2869.647311856362,2741.748073766078,27.083333333333332,1242.2666666666667
48,chhattisgarh,surajpur,557.0,23.21347,82.86836,6654.5,10190.75,150.02333151880077,2164.501848001059,25.42069892473118,1242.2666666666667
49,himachal pradesh,bilaspur,265.0,22.08005,82.15543,26766.0,42802.5,371.3138833924743,18207.288915889338,25.42069892473118,1098.1416666666667
50,himachal pradesh,bilaspur,306.0,30.3045,77.30424,26766.0,42802.5,371.3138833924743,18207.288915889338,25.42069892473118,1098.1416666666667
51,himachal pradesh,bilaspur,496.0,31.33027,76.75663,26766.0,42802.5,371.3138833924743,18207.288915889338,25.42069892473118,1098.1416666666667
52,himachal pradesh,bilaspur,199.0,28.88655,79.2703,26766.0,42802.5,371.3138833924743,18207.288915889338,25.42069892473118,1098.1416666666667
53,himachal pradesh,bilaspur,207.0,28.39128,77.62421,26766.0,42802.5,371.3138833924743,18207.288915889338,25.42069892473118,1098.1416666666667
54,himachal pradesh,chamba,951.0,32.55531,76.12647,20819.25,28628.0,186.1296591089123,6540.16192460095,25.42069892473118,1098.1416666666667
55,himachal pradesh,hamirpur,115.0,25.9553,80.14842,33902.5,39839.75,524.6741846136521,15328.87852768971,25.42069892473118,1098.1416666666667
56,himachal pradesh,hamirpur,768.0,31.68411,76.52506,33902.5,39839.75,524.6741846136521,15328.87852768971,25.42069892473118,1098.1416666666667
57,himachal pradesh,mandi,764.0,31.71194,76.93273,66841.75,87829.75,749.8654879376712,26499.182834885054,20.25,1098.1416666666667
58,himachal pradesh,shimla,2073.0,31.10442,77.16662,12073.0,17254.0,1049.955237141089,6954.723382948695,13.583333333333334,1098.1416666666667
59,himachal pradesh,sirmaur,313.0,24.83648,81.36448,25896.25,39486.0,539.5475728175719,11037.405220431114,25.42069892473118,1098.1416666666667
60,himachal pradesh,solan,1509.0,30.90908,77.10869,24841.5,38426.5,418.8002706143665,11954.701125498705,25.42069892473118,1098.1416666666667
61,himachal pradesh,una,29.0,20.82318,71.03795,33308.0,54625.25,1134.5222195561735,13015.038772512358,25.42069892473118,1098.1416666666667
62,himachal pradesh,una,395.0,31.46493,76.26914,33308.0,54625.25,1134.5222195561735,13015.038772512358,25.42069892473118,1098.1416666666667
63,jharkhand,bokaro,242.0,23.78707,85.95644,570.73,572.3333333333334,175.3882655709897,82.00812967830282,25.42069892473118,1189.7333333333333
64,jharkhand,chatra,440.0,24.20645,84.87085,6570.686666666667,7855.666666666667,4092.586023974736,5428.691585762939,25.42069892473118,1189.7333333333333
65,jharkhand,dhanbad,220.0,23.79759,86.42992,72.36,98.66666666666667,53.838815923086564,65.43189843901317,25.875,1189.7333333333333
66,jharkhand,dumka,150.0,24.26778,87.24855,4993.903333333333,7525.333333333333,1933.7685170757466,2970.072445805545,25.666666666666668,1189.7333333333333
